Adopt-A-Basket,0
Agency Issues,1
Collection Truck Noise,2
Complaint,3
Compliment,4
Derelict Bicycle,5
Derelict Vehicles,6
Dirty Conditions,7
Foam Ban Enforcement,8
Graffiti,9
Literature Request,10
Litter Basket / Request,11
Missed Collection (All Materials),12
Other Enforcement,13
Overflowing Litter Baskets,14
Overflowing Recycling Baskets,15
Recycling Enforcement,16
Request Xmas Tree Collection,17
Sanitation Condition,18
Snow,19
Standpipe - Mechanical,20
Sweeping/Inadequate,21
Sweeping/Missed,22
Sweeping/Missed-Inadequate,23
Vacant Lot,24
